bfa_env,s,s_se,cluster,n_bcs,source
pH7_3,-0.007048819684652711,0.004565989160607899,4,3,21C_2N
GlyEtOH,0.033999776080718636,0.004601693164645863,4,3,21C_2N
X02M_NaCl,0.05445230022820052,0.0042665869907983,4,3,21C_2N
SC,0.018691466125528876,0.004741397778698838,5,1,21C_2N
YPD,0.016776113680320875,0.005748440454149675,5,1,21C_2N
pH3_8,0.017545098662281624,0.00652349836720065,5,1,21C_2N
X21C,0.0287173989028675,0.004475867810736525,5,1,21C_2N
X37C,0.035347175944364,0.005455578944231175,5,1,21C_2N
pH7_3,-0.00315055295029235,0.007068030495425425,5,1,21C_2N
GlyEtOH,0.05269439392587325,0.005301059719067288,5,1,21C_2N
X02M_NaCl,0.03025249887965175,0.005248272305715962,5,1,21C_2N
SC,-0.008405456143033011,0.004790489915987025,6,3,21C_2N
YPD,0.007194589679903765,0.005202355904509951,6,3,21C_2N
pH3_8,-0.020639378533005244,0.006339942883214375,6,3,21C_2N
X21C,0.00870785397691265,0.004368649590805087,6,3,21C_2N
X37C,-0.008514432043613313,0.005701231251977561,6,3,21C_2N
pH7_3,-0.03624763816482913,0.00736477328701085,6,3,21C_2N
GlyEtOH,-0.008515938720127986,0.005927975441974536,6,3,21C_2N
X02M_NaCl,0.018569171272525,0.00495433880502595,6,3,21C_2N
SC,0.03627049996207325,0.0031267358437311876,7,3,21C_2N
YPD,-0.008695192598039334,0.0043905466227418125,7,3,21C_2N
pH3_8,0.010264170174086047,0.005193532557859725,7,3,21C_2N
X21C,0.04670565819922888,0.0028839626804736994,7,3,21C_2N
X37C,0.02000139372043238,0.0045936682962051615,7,3,21C_2N
pH7_3,-0.003785379845750076,0.003862729328164975,7,3,21C_2N
GlyEtOH,0.013264231414894249,0.004465205611021513,7,3,21C_2N
X02M_NaCl,0.04878627890064462,0.0040757411402589875,7,3,21C_2N
SC,0.02606938018026637,0.004513735106467875,8,3,21C_2N
YPD,-0.01197225405907034,0.005968566203498013,8,3,21C_2N
pH3_8,0.00761127208899872,0.0063799340322077125,8,3,21C_2N
X21C,0.029029062007494135,0.0045747787376555875,8,3,21C_2N
X37C,-0.09827360160733964,0.009411660616080888,8,3,21C_2N
pH7_3,0.005772583457421834,0.006463315632866714,8,3,21C_2N
GlyEtOH,0.036019194508184374,0.0055436350171599,8,3,21C_2N
X02M_NaCl,0.038200934370394624,0.00525121200455675,8,3,21C_2N
SC,0.026698023548426,0.003869826605263975,9,1,21C_2N
YPD,-5.893457212141388e-4,0.0058795202503929625,9,1,21C_2N
pH3_8,0.02514599387430075,0.0056220602288191875,9,1,21C_2N
X21C,0.00731736851782195,0.004705724517463737,9,1,21C_2N
X37C,0.0043341417064104,0.005324805378511512,9,1,21C_2N
pH7_3,-0.018568335403749,0.006811797502064238,9,1,21C_2N
GlyEtOH,0.030418619408117624,0.006084603952082725,9,1,21C_2N
X02M_NaCl,0.01535470565546425,0.005392357547863475,9,1,21C_2N
SC,0.008441347817861513,0.0031544473847318127,10,1,21C_2N
YPD,0.030302156694886874,0.004383492705251225,10,1,21C_2N
pH3_8,0.007707208166898713,0.005216327297141425,10,1,21C_2N
X21C,0.037116376068075,0.0029052201415102875,10,1,21C_2N
X37C,0.06140048921961225,0.0045945976594357,10,1,21C_2N
pH7_3,0.022737265174829626,0.003863217369871975,10,1,21C_2N
GlyEtOH,0.08997179516665188,0.0044405600709096875,10,1,21C_2N
X02M_NaCl,0.019879466270892,0.00411395839842805,10,1,21C_2N
SC,0.0010677211257045947,0.004521352761860612,1,9,37C_2N
YPD,-0.017362834356026254,0.006381929696854026,1,9,37C_2N
pH3_8,-0.002005302484234499,0.006120635829463187,1,9,37C_2N
X21C,3.3072989050346186e-4,0.004738826737278501,1,9,37C_2N
X37C,0.010936839152292115,0.005308839283903975,1,9,37C_2N
pH7_3,-0.017135213948615006,0.00677728707334395,1,9,37C_2N
GlyEtOH,-0.016580941353092626,0.008627221652403087,1,9,37C_2N
X02M_NaCl,0.027742981306210373,0.0049646019231764866,1,9,37C_2N
SC,-0.015889410496636624,0.006495080571152513,2,18,37C_2N
YPD,-0.049812904375440885,0.01033798556244809,2,18,37C_2N
pH3_8,-0.016197651228065258,0.008210072478646226,2,18,37C_2N
X21C,-0.026134188848201498,0.010018460120871564,2,18,37C_2N
X37C,0.012796735139165875,0.006116158743335088,2,18,37C_2N
pH7_3,-0.02973543069955838,0.012587785126754748,2,18,37C_2N
GlyEtOH,0.0017035419540868246,0.011559090531780811,2,18,37C_2N
X02M_NaCl,0.005939369844840912,0.007003903893347411,2,18,37C_2N
SC,-0.003690469325913925,0.005096528885442112,3,1,37C_2N
YPD,-0.024922743478499126,0.00697722043241835,3,1,37C_2N
pH3_8,-0.0032392070545452377,0.006535750657323825,3,1,37C_2N
X21C,0.008647211291330975,0.005218739058366662,3,1,37C_2N
X37C,0.011766377704475726,0.005644986163128113,3,1,37C_2N
pH7_3,-0.0659336932032145,0.0093570198927379,3,1,37C_2N
GlyEtOH,0.009678075267146537,0.007954054813976213,3,1,37C_2N
X02M_NaCl,0.005898349240396625,0.005961826438225812,3,1,37C_2N
SC,0.0057440516632935,0.0032458533670554376,4,2,37C_2N
YPD,-0.012539833968598627,0.004555484020622938,4,2,37C_2N
pH3_8,-0.0026937205512943593,0.005265201383565675,4,2,37C_2N
X21C,0.01628330462477775,0.003045979884806888,4,2,37C_2N
X37C,0.030770322528684002,0.004625545457304075,4,2,37C_2N
pH7_3,-0.011939568882505313,0.004173962970995137,4,2,37C_2N
GlyEtOH,0.018623732825797875,0.004552985878274726,4,2,37C_2N
X02M_NaCl,0.025982884911221873,0.004153456295174912,4,2,37C_2N
SC,0.01633767711547613,0.0040247650839446,5,12,37C_2N
YPD,-0.002341447501811946,0.005428442589775388,5,12,37C_2N
pH3_8,0.0031450720687520375,0.0058454283133809355,5,12,37C_2N
X21C,0.029517950269440384,0.0038281484852356997,5,12,37C_2N
X37C,0.005899367781787539,0.005233272518525224,5,12,37C_2N
pH7_3,0.008229915743538922,0.005001319393138088,5,12,37C_2N
GlyEtOH,0.028256546975657996,0.005622435036120225,5,12,37C_2N
X02M_NaCl,0.03605400332385524,0.004778589604606511,5,12,37C_2N
SC,-0.05024696445986589,0.015354767804057125,6,2,37C_2N
YPD,-0.07841587382840401,0.02215657108650463,6,2,37C_2N
pH3_8,-0.04294432374689537,0.022330287524010995,6,2,37C_2N
X21C,-0.029167143975858498,0.012414528625606288,6,2,37C_2N
X37C,-0.05526398814485925,0.027564105257600127,6,2,37C_2N
pH7_3,-0.043908541204960995,0.015968019963386374,6,2,37C_2N
GlyEtOH,-0.07649070027056451,0.04882001490259888,6,2,37C_2N
X02M_NaCl,-0.048200614366556885,0.02248809823164488,6,2,37C_2N
SC,-0.006810615766596388,0.004672879124311763,7,1,37C_2N
YPD,-0.00103077860659618,0.005922421021789113,7,1,37C_2N
pH3_8,-0.0023347733417420874,0.0061916250911920375,7,1,37C_2N
X21C,-0.04561019895042737,0.008389946689746625,7,1,37C_2N
X37C,0.010100533485136625,0.0054010077521343,7,1,37C_2N
pH7_3,-0.010958862919850525,0.0058102961296465,7,1,37C_2N
GlyEtOH,-0.0053977273465028374,0.0076026265593972875,7,1,37C_2N
X02M_NaCl,0.005316469638767437,0.005680914754519225,7,1,37C_2N
SC,-0.037055263064050124,0.005673390600531975,8,1,37C_2N
YPD,-0.03732178180157163,0.0076601555645756,8,1,37C_2N
pH3_8,-0.024261881732041624,0.007067206856908163,8,1,37C_2N
X21C,-0.08050989010060225,0.01569387095211225,8,1,37C_2N
X37C,0.005690847634387388,0.005297617901874363,8,1,37C_2N
pH7_3,-0.001584800565298775,0.005682377033730137,8,1,37C_2N
GlyEtOH,0.004024330372584,0.0076800576714888,8,1,37C_2N
