source  ,cluster ,bfa_env ,wmu_x                  ,wse                   ,z                     ,pleio ,is_home
SC      ,4       ,pH7_3   ,0.021358914766109877   ,0.003643118595001575  ,5.862810723596728     ,1     ,FALSE
CLM     ,5       ,pH7_3   ,-0.009770134014256512  ,0.0028742308810739    ,-3.3992168404391      ,-1    ,FALSE
FLC4    ,5       ,pH7_3   ,-0.006876865888403584  ,0.002790998092370237  ,-2.4639450335716457   ,-1    ,FALSE
GlyEtOH ,5       ,pH7_3   ,-0.048686073057294874  ,0.006548636548058187  ,-7.434535830474719    ,-1    ,FALSE
SC      ,5       ,pH7_3   ,-0.0028041621672260314 ,0.0034886097808461735 ,-0.8038050522652244   ,0     ,FALSE
CLM     ,6       ,pH7_3   ,-0.0034714965869526    ,0.003146820321562725  ,-1.1031759783566668   ,0     ,FALSE
FLC4    ,6       ,pH7_3   ,-0.04966686359372007   ,0.0170714226026032    ,-2.90935704363305     ,-1    ,FALSE
GlyEtOH ,6       ,pH7_3   ,-0.03497918138082207   ,0.007371164934149869  ,-4.745407502519314    ,-1    ,FALSE
FLC4    ,7       ,pH7_3   ,-0.04683377606584431   ,0.017866147072166494  ,-2.6213696706217213   ,-1    ,FALSE
GlyEtOH ,7       ,pH7_3   ,-0.04240793542551088   ,0.008365614914503963  ,-5.069314791431019    ,-1    ,FALSE
FLC4    ,8       ,pH7_3   ,-0.010001992348964714  ,0.0014743154741293169 ,-6.7841601912722025   ,-1    ,FALSE
GlyEtOH ,8       ,pH7_3   ,-0.049733094540532305  ,0.010335554566900574  ,-4.811845771662958    ,-1    ,FALSE
FLC4    ,9       ,pH7_3   ,-0.013306720081626687  ,0.0039185892308931415 ,-3.3957935618053448   ,-1    ,FALSE
GlyEtOH ,9       ,pH7_3   ,0.00477903385000695    ,0.0054145610681062    ,0.8826262719904029    ,0     ,FALSE
FLC4    ,10      ,pH7_3   ,-0.0113553239092876    ,0.002314385504868281  ,-4.906409880895737    ,-1    ,FALSE
GlyEtOH ,10      ,pH7_3   ,-0.04134065386493037   ,0.004662614821252949  ,-8.866409825768367    ,-1    ,FALSE
FLC4    ,11      ,pH7_3   ,0.014801088394445348   ,0.005047128134010612  ,2.932576309031394     ,1     ,FALSE
GlyEtOH ,11      ,pH7_3   ,-0.07001189137259126   ,0.005402640550809762  ,-12.958828319995801   ,-1    ,FALSE
FLC4    ,12      ,pH7_3   ,-0.004338386281615175  ,0.0034310509159889624 ,-1.2644482369521128   ,0     ,FALSE
GlyEtOH ,12      ,pH7_3   ,-0.005174313199346796  ,0.0013516634277960372 ,-3.828107717454339    ,-1    ,FALSE
FLC4    ,13      ,pH7_3   ,-0.001801108523510425  ,0.0044497249016012    ,-0.40476851116398443  ,0     ,FALSE
GlyEtOH ,13      ,pH7_3   ,-0.036249660553394625  ,0.00670018389591035   ,-5.410248601612359    ,-1    ,FALSE
FLC4    ,14      ,pH7_3   ,-0.071012772888611     ,0.009038295596539013  ,-7.856876568166631    ,-1    ,FALSE
GlyEtOH ,14      ,pH7_3   ,-0.05597865005354575   ,0.008400076474658725  ,-6.66406433589285     ,-1    ,FALSE
21C     ,1       ,SC      ,0.009156101643831988   ,0.005446711999267125  ,1.6810328221987825    ,0     ,FALSE
CLM     ,1       ,SC      ,-0.0034660920981190173 ,0.0021122186108574895 ,-1.6409722366341146   ,0     ,FALSE
FLC4    ,1       ,SC      ,0.013464450536776432   ,0.00202957622378785   ,6.634119171758615     ,1     ,FALSE
GlyEtOH ,1       ,SC      ,-0.027628955078110137  ,0.008653636552134041  ,-3.1927565840856422   ,-1    ,FALSE
pH7_3   ,1       ,SC      ,-0.0036079337253406485 ,0.002736200557467788  ,-1.3185925700854342   ,0     ,FALSE
SC      ,1       ,SC      ,0.00918839229020285    ,0.004140584889826412  ,2.2191049174668795    ,1     ,TRUE
YPD     ,1       ,SC      ,0.08555789130173637    ,0.0024584756403129124 ,34.801195463887794    ,1     ,FALSE
21C     ,2       ,SC      ,0.0687385445310825     ,0.003233315316386625  ,21.259462132477974    ,1     ,FALSE
CLM     ,2       ,SC      ,-0.008205830868811333  ,0.0038743762099063914 ,-2.117974720118776    ,-1    ,FALSE
FLC4    ,2       ,SC      ,-0.005792490070076719  ,0.0024767741641764434 ,-2.3387235517303573   ,-1    ,FALSE
GlyEtOH ,2       ,SC      ,0.027785137147507872   ,0.0020961996290758274 ,13.255005278174668    ,1     ,FALSE
SC      ,2       ,SC      ,0.016402599233184875   ,0.00376324603642085   ,4.358630574360498     ,1     ,TRUE
YPD     ,2       ,SC      ,0.02077542083935847    ,0.016294916129939937  ,1.2749633489175283    ,0     ,FALSE
CLM     ,3       ,SC      ,-0.028438233382150447  ,0.017518889129181897  ,-1.6232897629781657   ,0     ,FALSE
FLC4    ,3       ,SC      ,0.01555157981641794    ,0.00492959950515104   ,3.154734943511694     ,1     ,FALSE
GlyEtOH ,3       ,SC      ,0.007693298346798894   ,0.0051503070017115665 ,1.493755293469347     ,0     ,FALSE
SC      ,3       ,SC      ,0.010028208921293675   ,0.004350728396916375  ,2.3049494260320356    ,1     ,TRUE
CLM     ,4       ,SC      ,-0.013983518201240441  ,0.0027614185369319215 ,-5.063889451823862    ,-1    ,FALSE
FLC4    ,4       ,SC      ,-0.0036180260649937993 ,0.003457359954633905  ,-1.0464707500717572   ,0     ,FALSE
GlyEtOH ,4       ,SC      ,-0.005077193928545889  ,0.005080626910871917  ,-0.9993242994641701   ,0     ,FALSE
SC      ,4       ,SC      ,0.0042231754542201875  ,0.0047458485376840375 ,0.8898673062754521    ,0     ,TRUE
CLM     ,5       ,SC      ,-0.001784688608628125  ,0.0030125044276287623 ,-0.5924268831806864   ,0     ,FALSE
FLC4    ,5       ,SC      ,0.004298843193315559   ,0.005941166711907455  ,0.7235688546998177    ,0     ,FALSE
GlyEtOH ,5       ,SC      ,-0.026422249043778375  ,0.006349588524928712  ,-4.16125374739539     ,-1    ,FALSE
SC      ,5       ,SC      ,0.006763460156005784   ,0.003138465611630633  ,2.155021272478348     ,1     ,TRUE
CLM     ,6       ,SC      ,0.0012210383563829687  ,0.003383024990339125  ,0.3609309301201964    ,0     ,FALSE
FLC4    ,6       ,SC      ,-0.0030707525105577375 ,0.002221241607193246  ,-1.38244867222613     ,0     ,FALSE
GlyEtOH ,6       ,SC      ,-0.022897449684230794  ,0.01664951323013645   ,-1.375262409641218    ,0     ,FALSE
FLC4    ,7       ,SC      ,0.0073400969656415216  ,0.0029646230520106102 ,2.475895531023231     ,1     ,FALSE
GlyEtOH ,7       ,SC      ,-0.0017640552802307    ,0.009485112938216612  ,-0.18598147346491975  ,0     ,FALSE
FLC4    ,8       ,SC      ,-8.968430987935078e-4  ,0.0017112063630535933 ,-0.5240999087878097   ,0     ,FALSE
GlyEtOH ,8       ,SC      ,-0.056644451491560305  ,0.0013494093984288762 ,-41.977217260759936   ,-1    ,FALSE
FLC4    ,9       ,SC      ,0.05645791166176343    ,2.441832717436466e-4  ,231.2112179454914     ,1     ,FALSE
GlyEtOH ,9       ,SC      ,-0.010061214180712288  ,0.00834108866432525   ,-1.2062231425190333   ,0     ,FALSE
FLC4    ,10      ,SC      ,-0.004800080716602931  ,0.0033003120382212345 ,-1.4544323873054212   ,0     ,FALSE
GlyEtOH ,10      ,SC      ,0.006829407496590172   ,0.002121700409044345  ,3.2188368666367317    ,1     ,FALSE
FLC4    ,11      ,SC      ,-0.005323873700685604  ,0.006564178624503827  ,-0.8110494861934117   ,0     ,FALSE
GlyEtOH ,11      ,SC      ,-0.0813994816986841    ,0.0035212118651417805 ,-23.116894074025446   ,-1    ,FALSE
FLC4    ,12      ,SC      ,-0.0062841042599251625 ,0.004063387270937575  ,-1.5465186655652403   ,0     ,FALSE
GlyEtOH ,12      ,SC      ,0.014357323377535465   ,0.001110343061632468  ,12.930529197369676    ,1     ,FALSE
FLC4    ,13      ,SC      ,-0.03945037385111937   ,0.007820782250582288  ,-5.044300248633331    ,-1    ,FALSE
GlyEtOH ,13      ,SC      ,0.003678976399403975   ,0.0055823176256146875 ,0.6590410374577836    ,0     ,FALSE
FLC4    ,14      ,SC      ,-0.007000059378994812  ,0.005712257081106925  ,-1.225445437696991    ,0     ,FALSE
GlyEtOH ,14      ,SC      ,-0.011817154553102963  ,0.0062171380795662    ,-1.9007386359878795   ,0     ,FALSE
21C     ,1       ,YPD     ,0.017921392828765623   ,0.004951689840672275  ,3.619247853846293     ,1     ,FALSE
CLM     ,1       ,YPD     ,-0.004120828407713369  ,0.0012404160264749022 ,-3.32213412255259     ,-1    ,FALSE
FLC4    ,1       ,YPD     ,0.00856978107188132    ,0.0029459635789832383 ,2.9089908419163386    ,1     ,FALSE
GlyEtOH ,1       ,YPD     ,-0.04302674834627866   ,0.00403783038344051   ,-10.655907816914514   ,-1    ,FALSE
