source,n_bcs,n_bcs_adapted,p_bcs_adapted,n_wgs,p_wgs,n_bcs_adapted_wgs,p_adapted_w_wgs,n_clusters
GlyEtOH,121,73,0.6,48,0.4,35,0.48,15
FLC4,69,69,1,29,0.42,29,0.42,13
CLM,67,67,1,39,0.58,39,0.58,8
pH7_3,143,66,0.46,0,0,0,0,3
SC,262,12,0.05,0,0,0,0,10
pH3_8,128,10,0.08,1,0.01,0,0,7
YPD,234,9,0.04,1,0,0,0,3
21C,300,4,0.01,1,0,0,0,4
37C,119,3,0.03,0,0,0,0,3
