source,cluster,bfa_env,wmu_x,wse,z,pleio,is_home
21C,2,YPD,0.0046048812669520585,0.005313605781619954,0.8666207950316126,0,FALSE
37C,2,YPD,-0.02299100205937766,0.003444904555787841,-6.673915543102667,-1,FALSE
CLM,2,YPD,-0.0384865406579835,0.007259775877931862,-5.30134005582379,-1,FALSE
FLC4,2,YPD,-0.026650692510459855,0.004152670479403039,-6.417723882173042,-1,FALSE
GlyEtOH,2,YPD,-0.03158677316334006,0.016529815525509344,-1.9108968950436462,0,FALSE
YPD,2,YPD,0.0092359320898719,0.006357067325729425,1.4528605120305451,0,TRUE
02M_NaCl,3,YPD,0.003709893532976116,0.0013080574834789483,2.8361853969209165,1,FALSE
37C,3,YPD,-0.024922743478499126,0.00697722043241835,-3.572016065695769,-1,FALSE
FLC4,3,YPD,-0.03991381245206271,0.00422656423831796,-9.443559875466875,-1,FALSE
GlyEtOH,3,YPD,-0.07099171309978114,0.010783396938616562,-6.5834276067082165,-1,FALSE
pH3_8,3,YPD,0.003219999369592475,0.005394458016390675,0.5969087830155944,0,FALSE
pH7_3,3,YPD,-0.0022322002503396515,0.0052788563455463304,-0.42285679022557904,0,FALSE
YPD,3,YPD,0.005022221728310825,0.004785168609100675,1.0495391361464905,0,TRUE
21C,4,YPD,-0.004638119442050875,0.0011510353238221348,-4.029519638588942,-1,FALSE
37C,4,YPD,-0.009774376947139887,0.006051828948269559,-1.6151112383859993,0,FALSE
FLC4,4,YPD,-0.020318466143736617,0.004249506440663267,-4.781370831518328,-1,FALSE
GlyEtOH,4,YPD,-0.02041192204138119,0.017890062988314068,-1.1409642355487748,0,FALSE
pH7_3,4,YPD,0.008759645394925141,0.004551268646834021,1.9246601496526852,0,FALSE
02M_NaCl,5,YPD,-0.0035711123456964263,0.011192354859816756,-0.31906711236592206,0,FALSE
21C,5,YPD,0.016776113680320875,0.005748440454149675,2.91837652562106,1,FALSE
37C,5,YPD,0.002803091753807462,0.00407275118479411,0.688255095050489,0,FALSE
FLC4,5,YPD,-0.023599737309758274,0.022373186184773547,-1.0548223715144998,0,FALSE
GlyEtOH,5,YPD,0.007316803574425462,0.005115439214338125,1.4303373117829468,0,FALSE
