source,cluster,n_pleio_pos,n_pleio_neg,n_pleio_none,n_pleio_any,n_pleio_net,n_bfa_envs,wmu_x_home,wse_home,wmu_x_away,wse_away,n_bcs,wsd_away
pH3_8,3,6,0,4,6,6,10,0.03905193678243875,0.005457521857418587,0.021820889125167834,0.004100523327974279,1,0.01296699331505236
pH3_8,6,6,0,4,6,6,10,0.023123772848412,0.0059795505891772375,0.015446252882964874,0.005163216283689245,1,0.0163275235085281
pH3_8,7,7,0,3,7,7,10,0.02116847694778375,0.005689688429939913,0.021741680603299018,0.005731901189975223,1,0.0181258630833512
pH3_8,8,4,3,3,7,1,10,0.04474106829255075,0.00563603101107555,0.013579082084554729,0.008349966799213087,1,0.026404913472299216
pH7_3,3,2,3,5,5,-1,10,0.01339771305387335,0.011330696137521279,-0.009740105371825809,0.004560217250462537,17,0.014420673136652153
pH7_3,4,2,5,3,7,-3,10,0.058515189873064206,0.00886850514501669,-0.018295595749098167,0.007914712189255652,6,0.025028517542745515
pH7_3,5,4,0,6,4,4,10,0.0440027534646385,0.005025295145031562,0.006072621837926471,0.0058622553845594895,1,0.018538079240794265
SC,1,6,0,4,6,6,10,0.013027192726479874,0.004464908675598738,0.014032672882002353,0.005058689637843022,1,0.01599698123147626
YPD,1,3,3,4,6,0,10,0.004227026595276205,0.0022519703984920443,-0.003947623326472906,0.005300745394316714,13,0.01676242874268817
YPD,2,8,0,2,8,8,10,0.0092359320898719,0.006357067325729425,0.017386785729252754,0.005557715632006405,1,0.017575039984662442
YPD,3,7,1,2,8,6,10,0.005022221728310825,0.004785168609100675,0.01433386866567139,0.006703180338007908,1,0.021197317434962334
